Name,Objective,Folder,Status,Priority,Component,Estimated Time,Labels,Coverage,Step,Test Data,Expected Result
ORQA - CR1914 - TC0001,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0002,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0003,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0004,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0005,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0006,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0007,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0008,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0009,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0010,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0011,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0012,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0013,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0014,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0015,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0016,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0017,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0018,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0019,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0020,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0021,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0022,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0023,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0024,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0025,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0026,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0027,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0028,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0029,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0030,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0031,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0032,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0033,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0034,Perform the test case CreateNonCatalogRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateNonCatalogRequest,CR1914.xlsx,Non catalog request created successfully
ORQA - CR1914 - TC0035,Perform the test case ApproveMultipleRequests,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ApproveMultipleRequests,CR1914.xlsx,Approved multiple requests successfully
ORQA - CR1914 - TC0036,Perform the test case SystemAdminSubmitNewRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case SystemAdminSubmitNewRequest,CR1914.xlsx,Submitted new request successfully
ORQA - CR1914 - TC0037,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0038,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0039,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0040,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0041,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0042,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0043,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0044,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0045,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0046,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0047,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0048,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0049,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0050,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0051,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0052,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0053,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0054,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0055,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0056,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0057,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0058,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0059,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0060,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0061,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0062,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0063,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0064,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0065,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0066,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0067,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0068,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0069,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0070,Perform the test case CreatePurchaseOrder,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreatePurchaseOrder,CR1914.xlsx,Purchase order created successfully
ORQA - CR1914 - TC0071,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0072,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0073,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0074,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0075,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0076,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0077,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0078,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0079,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0080,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0081,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0082,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0083,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0084,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0085,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0086,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0087,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0088,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0089,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0090,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0091,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0092,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0093,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0094,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0095,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0096,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0097,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0098,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0099,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0100,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0101,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0102,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0103,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0104,Perform the test case ReceiptRequest,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ReceiptRequest,CR1914.xlsx,Receipt created successfully
ORQA - CR1914 - TC0105,Perform the test case CreateInvoice,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateInvoice,CR1914.xlsx,Invoice created successfully
ORQA - CR1914 - TC0106,Perform the test case CreateInvoice,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateInvoice,CR1914.xlsx,Invoice created successfully
ORQA - CR1914 - TC0107,Perform the test case ApproveRequisition,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case ApproveRequisition,CR1914.xlsx,Approved requisition successfully
ORQA - CR1914 - TC0108,Perform the test case CreateInvoice,/ORQA/EBSArea/Finance/regression,Approved,Normal,Functional,,ORQA,,Perform the test case CreateInvoice,CR1914.xlsx,Invoice created successfully
